,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.0,0.0,0.0,48.0
5,0.4188861985472155,0.3221601489757914,0.36421052631578943,537.0
6,0.4645214521452145,0.7797783933518005,0.5822130299896587,722.0
7,0.0,0.0,0.0,250.0
8,0.0,0.0,0.0,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.45292307692307693,0.45292307692307693,0.45292307692307693,0.45292307692307693
macro avg,0.12620109295606144,0.1574197917610846,0.1352033651864926,1625.0
weighted avg,0.3448162320422767,0.45292307692307693,0.3790392986363769,1625.0
