,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.75,0.125,0.21428571428571427,48.0
5,0.6776556776556777,0.6890130353817505,0.6832871652816251,537.0
6,0.6450809464508095,0.7174515235457064,0.679344262295082,722.0
7,0.5591836734693878,0.548,0.5535353535353535,250.0
8,0.8260869565217391,0.3392857142857143,0.4810126582278481,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.6461538461538462
macro avg,0.4940010362996592,0.3455357533161673,0.3730664505179462,1625.0
weighted avg,0.6472038954899371,0.6461538461538462,0.6357034010237501,1625.0
