,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.5,0.10416666666666667,0.1724137931034483,48.0
5,0.5574837310195228,0.478584729981378,0.5150300601202404,537.0
6,0.5057471264367817,0.7313019390581718,0.5979614949037373,722.0
7,0.42201834862385323,0.184,0.25626740947075205,250.0
8,0.0,0.0,0.0,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.5144615384615384,0.5144615384615384,0.5144615384615384,0.5144615384615384
macro avg,0.2836070294400225,0.21400761938660234,0.22023896537116827,1625.0
weighted avg,0.48862940061587906,0.5144615384615384,0.4803951114102899,1625.0
