,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.3333333333333333,0.041666666666666664,0.07407407407407407,48.0
5,0.5618448637316562,0.49906890130353815,0.5285996055226825,537.0
6,0.5048169556840078,0.7257617728531855,0.5954545454545455,722.0
7,0.4230769230769231,0.176,0.2485875706214689,250.0
8,0.0,0.0,0.0,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.5156923076923077,0.5156923076923077,0.5156923076923077,0.5156923076923077
macro avg,0.26043886797513144,0.20607104868905576,0.20667368509611014,1625.0
weighted avg,0.48489708590583613,0.5156923076923077,0.4796791496583293,1625.0
