,precision,recall,f1-score,support
3,0.2,0.09090909090909091,0.12500000000000003,11.0
4,0.21212121212121213,0.14583333333333334,0.1728395061728395,48.0
5,0.5311942959001783,0.5549348230912476,0.5428051001821493,537.0
6,0.5174825174825175,0.5124653739612188,0.5149617258176757,722.0
7,0.37333333333333335,0.448,0.4072727272727273,250.0
8,0.36363636363636365,0.07142857142857142,0.11940298507462686,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.48738461538461536,0.48738461538461536,0.48738461538461536,0.48738461538461536
macro avg,0.31396681749622923,0.26051017038906604,0.2688974349314312,1625.0
weighted avg,0.4830476937843454,0.48738461538461536,0.48090138468728205,1625.0
