,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.75,0.0625,0.11538461538461539,48.0
5,0.6857670979667283,0.6908752327746741,0.6883116883116883,537.0
6,0.6162402669632926,0.7673130193905817,0.6835286859962986,722.0
7,0.6463414634146342,0.424,0.5120772946859904,250.0
8,1.0,0.30357142857142855,0.4657534246575342,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.6467692307692308,0.6467692307692308,0.6467692307692308,0.6467692307692308
macro avg,0.5283355469063793,0.3211799543909549,0.3521508155765896,1625.0
weighted avg,0.6564724739749469,0.6467692307692308,0.6293975784021447,1625.0
