,precision,recall,f1-score,support
3,0.0,0.0,0.0,11.0
4,0.1794871794871795,0.14583333333333334,0.16091954022988506,48.0
5,0.5963302752293578,0.6052141527001862,0.6007393715341959,537.0
6,0.5670356703567035,0.6385041551246537,0.6006514657980456,722.0
7,0.4971751412429379,0.352,0.41217798594847777,250.0
8,0.4878048780487805,0.35714285714285715,0.41237113402061853,56.0
9,0.0,0.0,0.0,1.0
accuracy,0.5544615384615385,0.5544615384615385,0.5544615384615385,0.5544615384615385
macro avg,0.332547592052137,0.29981349975729005,0.3124084996473176,1625.0
weighted avg,0.547603295318496,0.5544615384615385,0.5477715807651451,1625.0
