,precision,recall,f1-score,support
3,0.4896694214876033,0.33808844507845937,0.4,701.0
4,0.28471001757469244,0.46285714285714286,0.35255712731229605,700.0
5,0.0,0.0,0.0,689.0
6,0.23076923076923078,0.004231311706629055,0.008310249307479225,709.0
7,0.13725490196078433,0.009562841530054645,0.017879948914431672,732.0
8,0.20399429386590584,0.3875338753387534,0.2672897196261682,738.0
9,0.3589333333333333,0.9697406340057637,0.5239392759828727,694.0
accuracy,0.308281281482974,0.308281281482974,0.308281281482974,0.308281281482974
macro avg,0.24361874271307857,0.31028775007382897,0.22428233159189254,4963.0
weighted avg,0.2430563715136299,0.308281281482974,0.2230593893006649,4963.0
