,precision,recall,f1-score,support
3,0.9682320441988951,1.0,0.983859649122807,701.0
4,0.8852672750977836,0.97,0.925698704839809,700.0
5,0.7503805175038052,0.7155297532656023,0.7325408618127788,689.0
6,0.7224264705882353,0.5543018335684062,0.627294493216281,709.0
7,0.8115183246073299,0.8469945355191257,0.8288770053475936,732.0
8,0.8933002481389578,0.975609756097561,0.9326424870466321,738.0
9,0.9900142653352354,1.0,0.9949820788530466,694.0
accuracy,0.8664114446907113,0.8664114446907113,0.8664114446907113,0.8664114446907113
macro avg,0.8601627350671774,0.8660622683500993,0.8608421828912783,4963.0
weighted avg,0.8599611518518687,0.8664114446907113,0.8609092973969713,4963.0
