,precision,recall,f1-score,support
3,0.5555555555555556,0.5135520684736091,0.5337286879169756,701.0
4,0.48020434227330777,0.5371428571428571,0.50708024275118,700.0
5,0.3358208955223881,0.3265602322206096,0.33112582781456956,689.0
6,0.2852112676056338,0.22849083215796898,0.25371965544244324,709.0
7,0.3956692913385827,0.27459016393442626,0.32419354838709674,732.0
8,0.4413265306122449,0.46883468834688347,0.454664914586071,738.0
9,0.6427145708582834,0.9279538904899135,0.7594339622641508,694.0
accuracy,0.46625025186379204,0.46625025186379204,0.46625025186379204,0.46625025186379204
macro avg,0.4480717791094281,0.4681606761094668,0.45199240559464104,4963.0
weighted avg,0.44742205980463584,0.46625025186379204,0.4507419837646086,4963.0
