,precision,recall,f1-score,support
3,0.48686030428769017,0.5021398002853067,0.49438202247191015,701.0
4,0.4895287958115183,0.5342857142857143,0.5109289617486339,700.0
5,0.3165217391304348,0.2641509433962264,0.2879746835443038,689.0
6,0.3227722772277228,0.229901269393512,0.2685337726523888,709.0
7,0.38735177865612647,0.2677595628415301,0.3166397415185783,732.0
8,0.4339622641509434,0.4986449864498645,0.46406052963430017,738.0
9,0.6660268714011516,1.0,0.7995391705069124,694.0
accuracy,0.4692726173685271,0.4692726173685271,0.4692726173685271,0.4692726173685271
macro avg,0.44328914723794105,0.4709831823788791,0.44886555458243255,4963.0
weighted avg,0.4426589874795766,0.4692726173685271,0.4477441504620052,4963.0
