,precision,recall,f1-score,support
3,0.49191685912240185,0.30385164051355207,0.37566137566137564,701.0
4,0.35135135135135137,0.4828571428571429,0.4067388688327317,700.0
5,0.22857142857142856,0.3599419448476052,0.27959413754227735,689.0
6,0.17796610169491525,0.029619181946403384,0.05078597339782345,709.0
7,0.136986301369863,0.0273224043715847,0.04555808656036446,732.0
8,0.22643979057591623,0.23441734417344173,0.2303595206391478,738.0
9,0.40756013745704467,0.8544668587896254,0.5518845974872033,694.0
accuracy,0.3235946000402982,0.3235946000402982,0.3235946000402982,0.3235946000402982
macro avg,0.28868456716327445,0.32749664535705075,0.27722608001727483,4963.0
weighted avg,0.28705956438063945,0.3235946000402982,0.27464541702140227,4963.0
