,precision,recall,f1-score,support
3,0.929144385026738,0.9914407988587732,0.9592822636300898,701.0
4,0.8384512683578104,0.8971428571428571,0.8668046928916493,700.0
5,0.6400541271989174,0.6865021770682148,0.6624649859943977,689.0
6,0.659877800407332,0.45698166431593795,0.54,709.0
7,0.7553763440860215,0.76775956284153,0.7615176151761517,732.0
8,0.8940568475452196,0.9376693766937669,0.9153439153439152,738.0
9,0.9651810584958217,0.9985590778097982,0.9815864022662889,694.0
accuracy,0.8194640338504936,0.8194640338504936,0.8194640338504936,0.8194640338504936
macro avg,0.8117345473025515,0.8194365021044112,0.8124285536146418,4963.0
weighted avg,0.8119447607976029,0.8194640338504936,0.8125517215765757,4963.0
