,precision,recall,f1-score,support
3,0.9682320441988951,1.0,0.983859649122807,701.0
4,0.8244274809160306,0.9257142857142857,0.8721399730820996,700.0
5,0.6219686162624821,0.6328011611030478,0.6273381294964028,689.0
6,0.538899430740038,0.4005641748942172,0.4595469255663431,709.0
7,0.6922024623803009,0.6912568306010929,0.6917293233082706,732.0
8,0.8318695106649937,0.8983739837398373,0.8638436482084689,738.0
9,0.9956958393113343,1.0,0.99784327821711,694.0
accuracy,0.7922627443078784,0.7922627443078784,0.7922627443078784,0.7922627443078784
macro avg,0.7818993406391537,0.7926729194360688,0.7851858467145004,4963.0
weighted avg,0.7813964913236744,0.7922627443078784,0.7847277954391084,4963.0
